0.4,0.4,0.4,0.4,0.4,0.401,0.401,0.401,0.4,0.399,0.398,0.395,0.395,0.395,0.397,0.398,0.398,0.398,0.397,0.397,0.396
0.4,0.4,0.399,0.4,0.4,0.401,0.401,0.401,0.4,0.399,0.398,0.396,0.394,0.394,0.396,0.398,0.399,0.398,0.397,0.396,0.396
0.4,0.399,0.4,0.4,0.4,0.4,0.401,0.401,0.401,0.4,0.399,0.397,0.395,0.395,0.396,0.398,0.399,0.398,0.397,0.397,0.396
0.4,0.4,0.4,0.4,0.4,0.401,0.401,0.401,0.401,0.4,0.399,0.397,0.395,0.395,0.396,0.398,0.398,0.398,0.397,0.397,0.396
0.401,0.4,0.4,0.4,0.4,0.401,0.401,0.401,0.401,0.401,0.4,0.398,0.396,0.395,0.395,0.397,0.398,0.398,0.398,0.397,0.396
0.401,0.4,0.4,0.4,0.4,0.401,0.401,0.401,0.401,0.401,0.4,0.399,0.396,0.395,0.395,0.397,0.398,0.398,0.397,0.397,0.396
0.401,0.401,0.401,0.4,0.4,0.401,0.401,0.401,0.401,0.401,0.4,0.399,0.397,0.395,0.395,0.397,0.398,0.399,0.398,0.397,0.396
0.401,0.401,0.401,0.4,0.401,0.401,0.401,0.401,0.402,0.401,0.401,0.4,0.397,0.395,0.395,0.397,0.398,0.399,0.398,0.397,0.397
0.402,0.401,0.401,0.401,0.401,0.401,0.401,0.402,0.402,0.401,0.401,0.4,0.398,0.396,0.396,0.397,0.398,0.399,0.398,0.398,0.397
0.402,0.402,0.401,0.401,0.401,0.401,0.401,0.4,0.399,0.401,0.401,0.4,0.399,0.397,0.396,0.397,0.398,0.399,0.398,0.398,0.397
0.402,0.401,0.401,0.401,0.401,0.401,0.399,0.395,0.395,0.399,0.401,0.401,0.399,0.397,0.396,0.396,0.398,0.399,0.398,0.398,0.397
0.402,0.402,0.401,0.401,0.401,0.401,0.399,0.392,0.392,0.398,0.401,0.401,0.4,0.398,0.396,0.396,0.398,0.399,0.398,0.398,0.397
0.403,0.402,0.402,0.401,0.401,0.401,0.398,0.392,0.392,0.397,0.401,0.401,0.4,0.399,0.396,0.396,0.398,0.399,0.399,0.398,0.398
0.403,0.402,0.402,0.401,0.401,0.402,0.398,0.392,0.392,0.398,0.401,0.402,0.4,0.399,0.397,0.397,0.397,0.399,0.399,0.399,0.398
0.403,0.403,0.402,0.401,0.401,0.401,0.398,0.392,0.392,0.397,0.4,0.401,0.4,0.399,0.397,0.397,0.398,0.398,0.399,0.398,0.398
0.403,0.402,0.402,0.401,0.401,0.401,0.399,0.392,0.394,0.396,0.401,0.401,0.4,0.399,0.397,0.397,0.397,0.398,0.399,0.398,0.398
0.403,0.403,0.402,0.402,0.401,0.401,0.4,0.398,0.396,0.398,0.401,0.401,0.401,0.399,0.398,0.397,0.398,0.398,0.399,0.399,0.398
0.403,0.402,0.402,0.401,0.401,0.401,0.401,0.4,0.399,0.401,0.401,0.401,0.401,0.4,0.399,0.398,0.398,0.398,0.399,0.398,0.398
0.403,0.403,0.402,0.402,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.4,0.399,0.398,0.398,0.398,0.399,0.398,0.398
0.403,0.403,0.402,0.402,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.4,0.399,0.399,0.398,0.398,0.399,0.398,0.398
0.404,0.403,0.402,0.402,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.4,0.4,0.399,0.399,0.398,0.398,0.398,0.398
